id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
9016,140000000,"['Aventure', 'Animation', 'Familial', 'Fantastique', 'Science-Fiction']",en,49.586,2002-11-26,109578115,95,7.529,3670
9288,0,"['Action', 'Aventure', 'Fantastique', 'Téléfilm']",en,49.573,2005-09-01,0,101,4.3,95
807132,0,"['Drame', 'Aventure', 'Familial']",en,49.571,2022-12-29,0,103,6.2,5
36647,45000000,"['Horreur', 'Action']",en,49.562,1998-08-21,131183530,115,6.755,5244
876716,45223,"['Animation', 'Comédie', 'Familial', 'Fantastique']",en,49.551,2021-11-12,0,7,7.498,587
36865,0,"['Comédie', 'Science-Fiction', 'Mystère', 'Animation', 'Drame']",ja,49.532,2010-02-05,0,162,7.7,190
353081,178000000,"['Action', 'Aventure']",en,49.526,2018-07-13,791657398,147,7.401,7115
674324,0,"['Drame', 'Comédie']",en,49.525,2022-10-20,41000000,114,7.512,1678
1724,150000000,"['Science-Fiction', 'Action', 'Aventure']",en,49.43,2008-06-12,163712074,112,6.202,10643
820511,0,['Horreur'],en,49.42,2021-06-28,0,82,6.176,119
446893,0,"['Familial', 'Animation', 'Comédie', 'Fantastique', 'Aventure', 'Musique']",en,49.413,2020-03-11,47000000,91,7.375,1863
505026,90000000,"['Mystère', 'Drame', 'Crime', 'Thriller', 'Action', 'Aventure']",en,49.307,2022-02-09,137307235,127,6.474,2733
7443,45000000,"['Animation', 'Comédie', 'Familial']",en,49.275,2000-06-23,224834564,85,6.742,4341
84892,13000000,['Drame'],en,49.271,2012-09-20,33400000,103,7.778,9583
667276,0,"['Animation', 'Comédie', 'Fantastique', 'Aventure', 'Familial']",es,49.177,2021-02-15,0,90,8.245,200
197158,0,['Drame'],pt,49.123,1981-01-01,0,83,4.6,55
776512,0,"['Comédie', 'Drame']",en,49.114,2022-05-13,0,86,6.581,43
1124,40000000,"['Drame', 'Mystère', 'Science-Fiction']",en,49.095,2006-10-19,109676311,130,8.203,14096
928391,0,['Horreur'],en,49.085,2022-09-12,0,100,5.5,20
1369,44000000,"['Action', 'Aventure', 'Thriller', 'Guerre']",en,49.08,1985-05-21,300400432,96,6.615,3347
4256,48000000,['Comédie'],en,49.065,2003-10-24,220673217,84,5.981,3611
481871,0,"['Romance', 'Drame']",ko,49.038,2017-07-27,0,79,3.75,8
1111579,0,['Documentaire'],en,49.019,2023-04-25,0,90,3.0,2
522016,75000000,"['Action', 'Thriller']",en,49.018,2022-01-05,55700000,124,6.145,805
51859,0,"['Action', 'Animation', 'Science-Fiction', 'Aventure']",ja,48.974,2011-07-11,0,91,7.547,139
298312,5000000,"['Mystère', 'Thriller', 'Horreur']",en,48.969,2015-09-10,98450062,93,6.309,4213
