id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
18240,40000000,"['Comédie', 'Romance', 'Drame']",en,65.364,2009-06-01,317375031,107,7.114,5957
232672,40000000,"['Comédie', 'Romance']",en,65.342,2014-05-21,127994610,117,6.859,3075
697843,0,"['Action', 'Thriller']",en,65.18,2023-06-16,0,0,0.0,0
259316,180000000,"['Fantastique', 'Aventure', 'Familial']",en,65.128,2016-11-16,809342332,133,7.3,17566
99361,0,['Comédie'],de,65.12,1980-09-19,0,85,6.667,18
420809,185000000,"['Familial', 'Fantastique', 'Aventure', 'Action']",en,65.109,2019-10-16,491730089,110,7.34,5489
249070,35000000,"['Action', 'Crime', 'Thriller']",en,65.089,2015-08-20,81967450,96,5.809,2709
350,35000000,"['Comédie', 'Drame', 'Romance']",en,65.085,2006-06-29,326551094,110,7.383,10761
8920,50000000,"['Animation', 'Comédie', 'Familial']",en,64.958,2004-06-10,200804534,81,5.7,3458
87428,70000000,"['Comédie', 'Drame']",en,64.93,2012-06-14,58058367,114,5.763,1640
453354,3000000,['Drame'],fr,64.906,2017-06-21,500000,105,6.25,192
101299,130000000,"['Aventure', 'Action', 'Science-Fiction']",en,64.866,2013-11-15,865011746,146,7.421,15752
892527,0,"['Aventure', 'Comédie', 'Familial']",fr,64.843,2022-02-16,2551835,100,6.541,146
521029,30000000,"['Horreur', 'Mystère', 'Thriller']",en,64.793,2019-06-26,231252591,106,6.439,3044
482321,0,"['Animation', 'Science-Fiction', 'Familial', 'Comédie']",en,64.784,2021-10-14,60692022,107,7.997,1564
82881,0,"['Animation', 'Comédie', 'Action', 'Familial']",en,64.666,2012-01-13,0,6,7.133,938
10527,150000000,"['Familial', 'Aventure', 'Animation', 'Comédie']",en,64.665,2008-10-30,603900354,95,6.475,6168
893086,105,['Thriller'],en,64.626,2022-06-17,94909,97,7.079,89
511817,0,"['Animation', 'Comédie', 'Fantastique', 'Aventure']",en,64.618,2022-10-21,0,107,6.817,229
38700,90000000,"['Thriller', 'Action', 'Crime']",en,64.509,2020-01-15,426505244,124,7.15,7409
894169,0,['Action'],en,64.492,2022-05-17,0,96,6.175,208
1017066,0,"['Drame', 'Romance']",pl,64.469,2023-02-10,0,120,1.7,5
